src_tags	tgt_tags	distinct_tags
['n', 'acr', 'sg']	['n', 'acr', 'm', 'sg']	['m']
['n', 'sg']	['n', 'f', 'sp']	['sg', 'sp', 'f']
['n', 'ND']	['n', 'mf', 'sp']	['sp', 'mf', 'ND']
['n', 'acr']	['n', 'm']	['acr', 'm']
['n', 'sg']	['n', 'GD', 'sg']	['GD']
['n', 'sg']	['n', 'f', 'ND']	['sg', 'f', 'ND']
['n', 'sg']	['np', 'al', 'sg']	['al', 'n', 'np']
['n', 'sg']	['n', 'm', 'sp']	['sg', 'sp', 'm']
['n', 'pl']	['n', 'mf', 'pl']	['mf']
['np', 'al', 'sg']	['np', 'al', 'mf', 'sp']	['sg', 'sp', 'mf']
['n', 'ND']	['n', 'acr', 'm', 'sp']	['sp', 'acr', 'm', 'ND']
['n', 'm', 'sg']	['n', 'acr', 'm', 'sp']	['sg', 'sp', 'acr']
['n', 'm', 'pl']	['n', 'acr', 'm', 'sp']	['sp', 'acr', 'pl']
['n', 'm', 'ND']	['n', 'acr', 'm', 'sp']	['sp', 'acr', 'ND']
['n', 'ND']	['n', 'm', 'sp']	['sp', 'm', 'ND']
['n', 'acr', 'ND']	['n', 'm', 'sp']	['sp', 'acr', 'm', 'ND']
['n', 'acr', 'sg']	['n', 'm', 'sp']	['sg', 'm', 'acr', 'sp']
['n', 'acr', 'pl']	['n', 'm', 'sp']	['sp', 'acr', 'm', 'pl']
['n', 'pl']	['n', 'mf', 'sg']	['sg', 'mf', 'pl']
['n', 'pl']	['n', 'm', 'ND']	['ND', 'm', 'pl']
['n', 'acr', 'sg']	['n', 'acr', 'f', 'sg']	['f']
['n', 'acr', 'pl']	['n', 'acr', 'f', 'sg']	['sg', 'f', 'pl']
['n', 'pl']	['n', 'f', 'ND']	['ND', 'f', 'pl']
['np', 'al', 'sg']	['np', 'al', 'm', 'sg']	['m']
['num', 'sp']	['n', 'f', 'sg']	['num', 'sp', 'sg', 'f', 'n']
['n', 'acr', 'sg']	['n', 'acr', 'mf', 'sp']	['sg', 'sp', 'mf']
['n', 'acr']	['n', 'GD']	['acr', 'GD']
['n', 'acr']	['n', 'mf']	['acr', 'mf']
['n', 'acr', 'sg']	['n', 'acr', 'f', 'pl']	['sg', 'f', 'pl']
['n', 'acr']	['n', 'acr', 'f', 'sp']	['sp', 'f']
['n', 'acr', 'pl']	['n', 'acr', 'mf', 'sp']	['sp', 'mf', 'pl']
['n', 'acr', 'ND']	['n', 'acr', 'mf', 'sp']	['sp', 'mf', 'ND']
['n', 'acr', 'sg']	['np', 'al', 'f', 'sg']	['al', 'acr', 'f', 'n', 'np']
['adj', 'sint', 'comp']	['adj', 'mf']	['mf', 'sint', 'comp']
['adj', 'sint', 'sup']	['adj', 'mf']	['mf', 'sint', 'sup']
['adj', 'sint']	['adj', 'sup']	['sint', 'sup']
['adj', 'pos', 'pred']	['adj', 'pos']	['pred']
['adj', 'ord']	['adj']	['ord']
